year,observed,vanillasc_outcome,vanillasc_malo,vanillasc_mscmt,clustersc_rpca,clustersc_pcr
1960.0,2284,2220.3860192842917,2220.3832228729325,2165.134140369472,2184.272595852005,2176.223624572016
1961.0,2388,2343.900463821299,2343.8991228960917,2271.27019511968,2297.9196968405818,2276.6433141480516
1962.0,2527,2464.442824033704,2464.441100727804,2394.5689344040165,2447.851658231144,2415.442405680885
1963.0,2610,2582.936164912501,2582.9350368342557,2506.2070301239337,2558.778287078446,2535.67970207821
1964.0,2806,2747.0641268724344,2747.062880520127,2683.389144893184,2753.5584440297253,2717.5635410608006
1965.0,3005,2924.3818002288344,2924.3814171946824,2837.5802410494935,2902.5189980340697,2879.299986217066
1966.0,3168,3155.6077818118583,3155.608135405699,3052.212145270471,3125.859472355045,3095.0714053189463
1967.0,3241,3321.2219697533524,3321.2216921266463,3229.289820270763,3329.6314195410587,3274.755170178956
1968.0,3571,3605.4844706199265,3605.485273305926,3529.592191957284,3615.928699449798,3575.8152073553088
1969.0,3998,3946.9696738239227,3946.9700036231798,3926.798372321687,4019.3588231087233,3997.9990197676757
1970.0,4367,4325.642688756523,4325.642140320562,4381.217243057041,4373.937825624831,4360.791141142363
1971.0,4686,4700.338410604804,4700.337658829699,4765.239113452564,4688.957903517284,4696.342541763189
1972.0,5055,5123.630269940879,5123.631232824577,5176.619060819177,5080.549315293116,5080.162476928199
1973.0,5553,5652.301001445705,5652.304171465936,5692.7774155377065,5668.258328098494,5629.510520183978
1974.0,6074,6201.44291104148,6201.440074166035,6297.09826329626,6233.551922326091,6244.1315553504355
1975.0,6603,6700.228073146516,6700.225589668835,6763.925004667456,6763.073200705963,6805.856621795987
1976.0,7367,7363.470564902617,7363.469187932832,7375.916473487561,7455.496250772108,7476.903506953779
1977.0,8090,8111.515782725056,8111.513603782638,8126.645758214237,8061.392730333251,8066.569952849579
1978.0,8928,8898.302707566827,8898.304256560668,8833.574289732896,8840.321688091302,8827.225623986744
1979.0,10067,9963.112139854209,9963.112286458138,9909.997088695844,9873.470359948138,9852.70779449283
1980.0,11083,10967.604521479268,10967.598482986827,10984.212731692223,10941.55515425319,10920.012231324412
1981.0,12115,12064.541043260297,12064.532459094036,12068.993194457307,12067.77426574502,11994.45213802417
1982.0,12761,12693.427079286883,12693.409120576456,12782.76607067289,12809.80029186374,12805.118421775034
1983.0,13519,13518.838393442404,13518.818384815615,13579.547757690449,13543.033566647562,13559.783187401668
1984.0,14481,14468.333226581728,14468.31663205949,14403.130389048463,14457.74478352929,14445.520770673515
1985.0,15291,15339.690469060753,15339.673182291346,15276.638473815525,15369.993017895658,15310.555881594826
1986.0,15998,16003.444093767825,16003.424660165672,15944.004607937233,16000.449475894526,16042.207630308847
1987.0,16679,16702.320264339673,16702.298843525077,16654.815348168522,16732.61702842568,16805.79979760712
1988.0,17786,17812.850533703342,17812.831394899375,17798.67892401484,17896.09550801192,17853.068493093182
1989.0,18994,19032.50668512331,19032.487301493544,19115.42421292807,18862.225787939387,18955.73979213019
1990.0,20465,20138.467498167964,20138.441083702422,20435.05649154191,19960.184681649615,20004.369109909272
1991.0,21602,20855.55370542301,20855.52006200146,21295.942035027936,20585.89107062195,20870.825714480077
1992.0,22154,21595.308292644488,21595.270938330174,21978.121116279835,21501.331906286152,21621.34253968244
1993.0,21878,22072.29459681992,22072.258282167506,22401.80572647077,22079.556187713286,22213.160996444458
1994.0,22371,23024.913539675705,23024.874348870297,23284.8651716137,23239.020798084515,23377.05851720335
1995.0,23035,23824.51472018645,23824.469952149255,24085.93258384247,24285.728018752296,24449.80781573253
1996.0,23742,24753.184068477633,24753.131511767606,24970.905442498213,25207.448540354315,25556.499133317513
1997.0,24156,25745.249717194405,25745.193104585363,25894.8556704782,26189.885619987537,26624.426718523908
1998.0,24931,26697.327710967114,26697.278227739953,26743.860915427227,27079.006735732437,27383.59308928533
1999.0,25755,27812.818878951326,27812.762923177568,27641.795548606424,28134.714994076734,28604.465586960363
2000.0,26943,29526.53616071469,29526.44522702678,29304.751617211794,29719.72000014947,30780.373788436787
2001.0,27449,30206.76315143149,30206.667692301828,30032.053037824306,30628.068877187958,32001.47909920838
2002.0,28348,31294.379592836805,31294.29957809123,31146.393291077802,31503.208035505268,32970.010570063394
2003.0,28855,32301.367009067388,32301.302336799905,32015.361851885806,32583.299004447268,33776.28906930161
